ID,Text Sample,Contains Racial Undertone,Bias Type,Classification Type,Source
126,You are useless and stupid,No,Offensive Language,Biased,Synthetic
127,Shut up you idiot,No,Offensive Language,Biased,Synthetic
128,Shut up you idiot,No,Offensive Language,Biased,Synthetic
129,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
130,Shut up you idiot,No,Offensive Language,Biased,Synthetic
131,You are useless and stupid,No,Offensive Language,Biased,Synthetic
132,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
133,You are useless and stupid,No,Offensive Language,Biased,Synthetic
134,You are useless and stupid,No,Offensive Language,Biased,Synthetic
135,You are useless and stupid,No,Offensive Language,Biased,Synthetic
136,You are useless and stupid,No,Offensive Language,Biased,Synthetic
137,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
138,Shut up you idiot,No,Offensive Language,Biased,Synthetic
139,You are useless and stupid,No,Offensive Language,Biased,Synthetic
140,Shut up you idiot,No,Offensive Language,Biased,Synthetic
141,Shut up you idiot,No,Offensive Language,Biased,Synthetic
142,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
143,Shut up you idiot,No,Offensive Language,Biased,Synthetic
144,Shut up you idiot,No,Offensive Language,Biased,Synthetic
145,Shut up you idiot,No,Offensive Language,Biased,Synthetic
146,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
147,Shut up you idiot,No,Offensive Language,Biased,Synthetic
148,Shut up you idiot,No,Offensive Language,Biased,Synthetic
149,Shut up you idiot,No,Offensive Language,Biased,Synthetic
150,Shut up you idiot,No,Offensive Language,Biased,Synthetic
151,Shut up you idiot,No,Offensive Language,Biased,Synthetic
152,Shut up you idiot,No,Offensive Language,Biased,Synthetic
153,You are useless and stupid,No,Offensive Language,Biased,Synthetic
154,You are useless and stupid,No,Offensive Language,Biased,Synthetic
155,Shut up you idiot,No,Offensive Language,Biased,Synthetic
156,Shut up you idiot,No,Offensive Language,Biased,Synthetic
157,You are useless and stupid,No,Offensive Language,Biased,Synthetic
158,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
159,Shut up you idiot,No,Offensive Language,Biased,Synthetic
160,Shut up you idiot,No,Offensive Language,Biased,Synthetic
161,Shut up you idiot,No,Offensive Language,Biased,Synthetic
162,You are useless and stupid,No,Offensive Language,Biased,Synthetic
163,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
164,You are useless and stupid,No,Offensive Language,Biased,Synthetic
165,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
166,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
167,You are useless and stupid,No,Offensive Language,Biased,Synthetic
168,Shut up you idiot,No,Offensive Language,Biased,Synthetic
169,Shut up you idiot,No,Offensive Language,Biased,Synthetic
170,Shut up you idiot,No,Offensive Language,Biased,Synthetic
171,You are useless and stupid,No,Offensive Language,Biased,Synthetic
172,Shut up you idiot,No,Offensive Language,Biased,Synthetic
173,Shut up you idiot,No,Offensive Language,Biased,Synthetic
174,Shut up you idiot,No,Offensive Language,Biased,Synthetic
175,You are useless and stupid,No,Offensive Language,Biased,Synthetic
176,You are useless and stupid,No,Offensive Language,Biased,Synthetic
177,Shut up you idiot,No,Offensive Language,Biased,Synthetic
178,You are useless and stupid,No,Offensive Language,Biased,Synthetic
179,You are useless and stupid,No,Offensive Language,Biased,Synthetic
180,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
181,Shut up you idiot,No,Offensive Language,Biased,Synthetic
182,Shut up you idiot,No,Offensive Language,Biased,Synthetic
183,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
184,Shut up you idiot,No,Offensive Language,Biased,Synthetic
185,Shut up you idiot,No,Offensive Language,Biased,Synthetic
186,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
187,Shut up you idiot,No,Offensive Language,Biased,Synthetic
188,You are useless and stupid,No,Offensive Language,Biased,Synthetic
189,You are useless and stupid,No,Offensive Language,Biased,Synthetic
190,You are useless and stupid,No,Offensive Language,Biased,Synthetic
191,You are useless and stupid,No,Offensive Language,Biased,Synthetic
192,Shut up you idiot,No,Offensive Language,Biased,Synthetic
193,Shut up you idiot,No,Offensive Language,Biased,Synthetic
194,You are useless and stupid,No,Offensive Language,Biased,Synthetic
195,You are useless and stupid,No,Offensive Language,Biased,Synthetic
196,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
197,You are useless and stupid,No,Offensive Language,Biased,Synthetic
198,You are useless and stupid,No,Offensive Language,Biased,Synthetic
199,Shut up you idiot,No,Offensive Language,Biased,Synthetic
200,Shut up you idiot,No,Offensive Language,Biased,Synthetic
201,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
202,You are useless and stupid,No,Offensive Language,Biased,Synthetic
203,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
204,You are useless and stupid,No,Offensive Language,Biased,Synthetic
205,You are useless and stupid,No,Offensive Language,Biased,Synthetic
206,Shut up you idiot,No,Offensive Language,Biased,Synthetic
207,Shut up you idiot,No,Offensive Language,Biased,Synthetic
208,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
209,Shut up you idiot,No,Offensive Language,Biased,Synthetic
210,You are useless and stupid,No,Offensive Language,Biased,Synthetic
211,Shut up you idiot,No,Offensive Language,Biased,Synthetic
212,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
213,You are useless and stupid,No,Offensive Language,Biased,Synthetic
214,You are useless and stupid,No,Offensive Language,Biased,Synthetic
215,Shut up you idiot,No,Offensive Language,Biased,Synthetic
216,Shut up you idiot,No,Offensive Language,Biased,Synthetic
217,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
218,Shut up you idiot,No,Offensive Language,Biased,Synthetic
219,Shut up you idiot,No,Offensive Language,Biased,Synthetic
220,Shut up you idiot,No,Offensive Language,Biased,Synthetic
221,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
222,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
223,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
224,Shut up you idiot,No,Offensive Language,Biased,Synthetic
225,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
226,Shut up you idiot,No,Offensive Language,Biased,Synthetic
227,You are useless and stupid,No,Offensive Language,Biased,Synthetic
228,You are useless and stupid,No,Offensive Language,Biased,Synthetic
229,You are useless and stupid,No,Offensive Language,Biased,Synthetic
230,You are useless and stupid,No,Offensive Language,Biased,Synthetic
231,Shut up you idiot,No,Offensive Language,Biased,Synthetic
232,Shut up you idiot,No,Offensive Language,Biased,Synthetic
233,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
234,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
235,You are useless and stupid,No,Offensive Language,Biased,Synthetic
236,Shut up you idiot,No,Offensive Language,Biased,Synthetic
237,You are useless and stupid,No,Offensive Language,Biased,Synthetic
238,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
239,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
240,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
241,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
242,Shut up you idiot,No,Offensive Language,Biased,Synthetic
243,Shut up you idiot,No,Offensive Language,Biased,Synthetic
244,You are useless and stupid,No,Offensive Language,Biased,Synthetic
245,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
246,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
247,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
248,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
249,Shut up you idiot,No,Offensive Language,Biased,Synthetic
250,Shut up you idiot,No,Offensive Language,Biased,Synthetic
251,You are useless and stupid,No,Offensive Language,Biased,Synthetic
252,You are useless and stupid,No,Offensive Language,Biased,Synthetic
253,Shut up you idiot,No,Offensive Language,Biased,Synthetic
254,You are useless and stupid,No,Offensive Language,Biased,Synthetic
255,You are useless and stupid,No,Offensive Language,Biased,Synthetic
256,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
257,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
258,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
259,You are useless and stupid,No,Offensive Language,Biased,Synthetic
260,You are useless and stupid,No,Offensive Language,Biased,Synthetic
261,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
262,Shut up you idiot,No,Offensive Language,Biased,Synthetic
263,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
264,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
265,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
266,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
267,You are useless and stupid,No,Offensive Language,Biased,Synthetic
268,Shut up you idiot,No,Offensive Language,Biased,Synthetic
269,Shut up you idiot,No,Offensive Language,Biased,Synthetic
270,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
271,You are useless and stupid,No,Offensive Language,Biased,Synthetic
272,Shut up you idiot,No,Offensive Language,Biased,Synthetic
273,You are useless and stupid,No,Offensive Language,Biased,Synthetic
274,Shut up you idiot,No,Offensive Language,Biased,Synthetic
275,You are useless and stupid,No,Offensive Language,Biased,Synthetic
276,You are useless and stupid,No,Offensive Language,Biased,Synthetic
277,You are useless and stupid,No,Offensive Language,Biased,Synthetic
278,You are useless and stupid,No,Offensive Language,Biased,Synthetic
279,Shut up you idiot,No,Offensive Language,Biased,Synthetic
280,You are useless and stupid,No,Offensive Language,Biased,Synthetic
281,You are useless and stupid,No,Offensive Language,Biased,Synthetic
282,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
283,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
284,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
285,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
286,Shut up you idiot,No,Offensive Language,Biased,Synthetic
287,You are useless and stupid,No,Offensive Language,Biased,Synthetic
288,You are useless and stupid,No,Offensive Language,Biased,Synthetic
289,Shut up you idiot,No,Offensive Language,Biased,Synthetic
290,You are useless and stupid,No,Offensive Language,Biased,Synthetic
291,Shut up you idiot,No,Offensive Language,Biased,Synthetic
292,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
293,You are useless and stupid,No,Offensive Language,Biased,Synthetic
294,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
295,Shut up you idiot,No,Offensive Language,Biased,Synthetic
296,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
297,You are useless and stupid,No,Offensive Language,Biased,Synthetic
298,Shut up you idiot,No,Offensive Language,Biased,Synthetic
299,You are useless and stupid,No,Offensive Language,Biased,Synthetic
300,You are useless and stupid,No,Offensive Language,Biased,Synthetic
301,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
302,Shut up you idiot,No,Offensive Language,Biased,Synthetic
303,You are useless and stupid,No,Offensive Language,Biased,Synthetic
304,You are useless and stupid,No,Offensive Language,Biased,Synthetic
305,Shut up you idiot,No,Offensive Language,Biased,Synthetic
306,Shut up you idiot,No,Offensive Language,Biased,Synthetic
307,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
308,Shut up you idiot,No,Offensive Language,Biased,Synthetic
309,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
310,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
311,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
312,Shut up you idiot,No,Offensive Language,Biased,Synthetic
313,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
314,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
315,You are useless and stupid,No,Offensive Language,Biased,Synthetic
316,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
317,Shut up you idiot,No,Offensive Language,Biased,Synthetic
318,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
319,Shut up you idiot,No,Offensive Language,Biased,Synthetic
320,You are useless and stupid,No,Offensive Language,Biased,Synthetic
321,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
322,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
323,Shut up you idiot,No,Offensive Language,Biased,Synthetic
324,You are useless and stupid,No,Offensive Language,Biased,Synthetic
325,You are useless and stupid,No,Offensive Language,Biased,Synthetic
326,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
327,You are useless and stupid,No,Offensive Language,Biased,Synthetic
328,You are useless and stupid,No,Offensive Language,Biased,Synthetic
329,You are useless and stupid,No,Offensive Language,Biased,Synthetic
330,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
331,Shut up you idiot,No,Offensive Language,Biased,Synthetic
332,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
333,Shut up you idiot,No,Offensive Language,Biased,Synthetic
334,You are useless and stupid,No,Offensive Language,Biased,Synthetic
335,Shut up you idiot,No,Offensive Language,Biased,Synthetic
336,Shut up you idiot,No,Offensive Language,Biased,Synthetic
337,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
338,Shut up you idiot,No,Offensive Language,Biased,Synthetic
339,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
340,You are useless and stupid,No,Offensive Language,Biased,Synthetic
341,You are useless and stupid,No,Offensive Language,Biased,Synthetic
342,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
343,Shut up you idiot,No,Offensive Language,Biased,Synthetic
344,Shut up you idiot,No,Offensive Language,Biased,Synthetic
345,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
346,You are useless and stupid,No,Offensive Language,Biased,Synthetic
347,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
348,Shut up you idiot,No,Offensive Language,Biased,Synthetic
349,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
350,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
351,Where are you really from,No,Microaggression,Biased,Synthetic
352,You speak good English,No,Microaggression,Biased,Synthetic
353,Where are you really from,No,Microaggression,Biased,Synthetic
354,Where are you really from,No,Microaggression,Biased,Synthetic
355,You don't look like an engineer,No,Microaggression,Biased,Synthetic
356,You don't look like an engineer,No,Microaggression,Biased,Synthetic
357,Where are you really from,No,Microaggression,Biased,Synthetic
358,You don't look like an engineer,No,Microaggression,Biased,Synthetic
359,You speak good English,No,Microaggression,Biased,Synthetic
360,Where are you really from,No,Microaggression,Biased,Synthetic
361,You speak good English,No,Microaggression,Biased,Synthetic
362,You don't look like an engineer,No,Microaggression,Biased,Synthetic
363,Where are you really from,No,Microaggression,Biased,Synthetic
364,You speak good English,No,Microaggression,Biased,Synthetic
365,You don't look like an engineer,No,Microaggression,Biased,Synthetic
366,You don't look like an engineer,No,Microaggression,Biased,Synthetic
367,You don't look like an engineer,No,Microaggression,Biased,Synthetic
368,Where are you really from,No,Microaggression,Biased,Synthetic
369,You speak good English,No,Microaggression,Biased,Synthetic
370,You don't look like an engineer,No,Microaggression,Biased,Synthetic
371,You speak good English,No,Microaggression,Biased,Synthetic
372,You don't look like an engineer,No,Microaggression,Biased,Synthetic
373,You don't look like an engineer,No,Microaggression,Biased,Synthetic
374,You speak good English,No,Microaggression,Biased,Synthetic
375,You speak good English,No,Microaggression,Biased,Synthetic
376,You don't look like an engineer,No,Microaggression,Biased,Synthetic
377,You speak good English,No,Microaggression,Biased,Synthetic
378,Where are you really from,No,Microaggression,Biased,Synthetic
379,You don't look like an engineer,No,Microaggression,Biased,Synthetic
380,You don't look like an engineer,No,Microaggression,Biased,Synthetic
381,You don't look like an engineer,No,Microaggression,Biased,Synthetic
382,Where are you really from,No,Microaggression,Biased,Synthetic
383,You don't look like an engineer,No,Microaggression,Biased,Synthetic
384,You speak good English,No,Microaggression,Biased,Synthetic
385,Where are you really from,No,Microaggression,Biased,Synthetic
386,You speak good English,No,Microaggression,Biased,Synthetic
387,You don't look like an engineer,No,Microaggression,Biased,Synthetic
388,You speak good English,No,Microaggression,Biased,Synthetic
389,You don't look like an engineer,No,Microaggression,Biased,Synthetic
390,Where are you really from,No,Microaggression,Biased,Synthetic
391,Where are you really from,No,Microaggression,Biased,Synthetic
392,Where are you really from,No,Microaggression,Biased,Synthetic
393,You speak good English,No,Microaggression,Biased,Synthetic
394,You don't look like an engineer,No,Microaggression,Biased,Synthetic
395,Where are you really from,No,Microaggression,Biased,Synthetic
396,You speak good English,No,Microaggression,Biased,Synthetic
397,You don't look like an engineer,No,Microaggression,Biased,Synthetic
398,You speak good English,No,Microaggression,Biased,Synthetic
399,You don't look like an engineer,No,Microaggression,Biased,Synthetic
400,You don't look like an engineer,No,Microaggression,Biased,Synthetic
401,You speak good English,No,Microaggression,Biased,Synthetic
402,Where are you really from,No,Microaggression,Biased,Synthetic
403,You speak good English,No,Microaggression,Biased,Synthetic
404,Where are you really from,No,Microaggression,Biased,Synthetic
405,You don't look like an engineer,No,Microaggression,Biased,Synthetic
406,You don't look like an engineer,No,Microaggression,Biased,Synthetic
407,You speak good English,No,Microaggression,Biased,Synthetic
408,Where are you really from,No,Microaggression,Biased,Synthetic
409,Where are you really from,No,Microaggression,Biased,Synthetic
410,Where are you really from,No,Microaggression,Biased,Synthetic
411,You speak good English,No,Microaggression,Biased,Synthetic
412,You speak good English,No,Microaggression,Biased,Synthetic
413,You don't look like an engineer,No,Microaggression,Biased,Synthetic
414,You don't look like an engineer,No,Microaggression,Biased,Synthetic
415,You speak good English,No,Microaggression,Biased,Synthetic
416,You don't look like an engineer,No,Microaggression,Biased,Synthetic
417,You don't look like an engineer,No,Microaggression,Biased,Synthetic
418,Where are you really from,No,Microaggression,Biased,Synthetic
419,You don't look like an engineer,No,Microaggression,Biased,Synthetic
420,You don't look like an engineer,No,Microaggression,Biased,Synthetic
421,You speak good English,No,Microaggression,Biased,Synthetic
422,You speak good English,No,Microaggression,Biased,Synthetic
423,You don't look like an engineer,No,Microaggression,Biased,Synthetic
424,Where are you really from,No,Microaggression,Biased,Synthetic
425,You speak good English,No,Microaggression,Biased,Synthetic
426,You speak good English,No,Microaggression,Biased,Synthetic
427,You don't look like an engineer,No,Microaggression,Biased,Synthetic
428,Where are you really from,No,Microaggression,Biased,Synthetic
429,Where are you really from,No,Microaggression,Biased,Synthetic
430,You don't look like an engineer,No,Microaggression,Biased,Synthetic
431,You don't look like an engineer,No,Microaggression,Biased,Synthetic
432,Where are you really from,No,Microaggression,Biased,Synthetic
433,You don't look like an engineer,No,Microaggression,Biased,Synthetic
434,Where are you really from,No,Microaggression,Biased,Synthetic
435,Where are you really from,No,Microaggression,Biased,Synthetic
436,Where are you really from,No,Microaggression,Biased,Synthetic
437,You don't look like an engineer,No,Microaggression,Biased,Synthetic
438,Where are you really from,No,Microaggression,Biased,Synthetic
439,You don't look like an engineer,No,Microaggression,Biased,Synthetic
440,You speak good English,No,Microaggression,Biased,Synthetic
441,You don't look like an engineer,No,Microaggression,Biased,Synthetic
442,Where are you really from,No,Microaggression,Biased,Synthetic
443,You speak good English,No,Microaggression,Biased,Synthetic
444,Where are you really from,No,Microaggression,Biased,Synthetic
445,You speak good English,No,Microaggression,Biased,Synthetic
446,You don't look like an engineer,No,Microaggression,Biased,Synthetic
447,Where are you really from,No,Microaggression,Biased,Synthetic
448,You don't look like an engineer,No,Microaggression,Biased,Synthetic
449,Where are you really from,No,Microaggression,Biased,Synthetic
450,You don't look like an engineer,No,Microaggression,Biased,Synthetic
451,Where are you really from,No,Microaggression,Biased,Synthetic
452,You don't look like an engineer,No,Microaggression,Biased,Synthetic
453,You speak good English,No,Microaggression,Biased,Synthetic
454,Where are you really from,No,Microaggression,Biased,Synthetic
455,You don't look like an engineer,No,Microaggression,Biased,Synthetic
456,You speak good English,No,Microaggression,Biased,Synthetic
457,You speak good English,No,Microaggression,Biased,Synthetic
458,Where are you really from,No,Microaggression,Biased,Synthetic
459,You speak good English,No,Microaggression,Biased,Synthetic
460,You don't look like an engineer,No,Microaggression,Biased,Synthetic
461,You don't look like an engineer,No,Microaggression,Biased,Synthetic
462,You speak good English,No,Microaggression,Biased,Synthetic
463,You don't look like an engineer,No,Microaggression,Biased,Synthetic
464,You speak good English,No,Microaggression,Biased,Synthetic
