ID,Text Sample,Contains Racial Undertone,Bias Type,Classification Type,Source
471,This is complete bs and everyone knows it #6268,Yes,Offensive Language,Offensive Language,Social Media
829,Thanks for sharing your thoughts #5773,No,None,None,Social Media
47,ngl this is pretty damn stupid imo #2840,Yes,Offensive Language,Offensive Language,Social Media
797,I appreciate your perspective on this topic #8071,No,None,None,Social Media
983,We should consider multiple viewpoints #2895,No,None,None,Social Media
937,This is a well written comment #3838,No,None,None,Social Media
911,Thanks for sharing your thoughts #3052,No,None,None,Social Media
437,F@ck this I'm done #616,Yes,Offensive Language,Offensive Language,Social Media
772,This is helpful information #3842,No,None,None,Social Media
226,Th!s is $o st*pid omg #8164,Yes,Offensive Language,Offensive Language,Social Media
218,B!tch please... not happening #7213,Yes,Offensive Language,Offensive Language,Social Media
586,Let's keep the conversation respectful #524,No,None,None,Social Media
846,I think this makes sense #6624,No,None,None,Social Media
536,This is a well written comment #6800,No,None,None,Social Media
967,I think this makes sense #6826,No,None,None,Social Media
194,d4mn son thats cr4zy #7207,Yes,Offensive Language,Offensive Language,Social Media
365,This is f*cking ridiculous tbh #8429,Yes,Offensive Language,Offensive Language,Social Media
924,I think this makes sense #4543,No,None,None,Social Media
757,Let's keep the conversation respectful #3112,No,None,None,Social Media
422,lmao what kind of sh!tty take is that #2308,Yes,Offensive Language,Offensive Language,Social Media
452,He's being a total a**hole rn #3441,Yes,Offensive Language,Offensive Language,Social Media
817,I think this makes sense #123,No,None,None,Social Media
34,r u f***ing kidding me rn??? #2779,Yes,Offensive Language,Offensive Language,Social Media
147,That's some bull$hit right there #3219,Yes,Offensive Language,Offensive Language,Social Media
173,ngl this is pretty damn stupid imo #427,Yes,Offensive Language,Offensive Language,Social Media
286,th1s 1s s0 dum8 #6109,Yes,Offensive Language,Offensive Language,Social Media
499,Get the f*** out of here with that nonsense #839,Yes,Offensive Language,Offensive Language,Social Media
138,b1tch pls ur wr0ng #9197,Yes,Offensive Language,Offensive Language,Social Media
33,lmao what kind of sh!tty take is that #1259,Yes,Offensive Language,Offensive Language,Social Media
56,gtfo with that weak argument lol #5065,Yes,Offensive Language,Offensive Language,Social Media
443,Stop being such a d*ck about it #7722,Yes,Offensive Language,Offensive Language,Social Media
297,Get the f*** out of here with that nonsense #6167,Yes,Offensive Language,Offensive Language,Social Media
867,This is helpful information #6892,No,None,None,Social Media
480,smh people are so fn stupid these days #6653,Yes,Offensive Language,Offensive Language,Social Media
776,Let's keep the conversation respectful #8001,No,None,None,Social Media
848,This discussion is quite interesting #1590,No,None,None,Social Media
723,I think this makes sense #6742,No,None,None,Social Media
693,I think this makes sense #5920,No,None,None,Social Media
186,d4mn son thats cr4zy #1114,Yes,Offensive Language,Offensive Language,Social Media
353,You're full of sh*t dude #830,Yes,Offensive Language,Offensive Language,Social Media
826,I think this makes sense #7334,No,None,None,Social Media
97,th1s 1s s0 dum8 #7642,Yes,Offensive Language,Offensive Language,Social Media
72,omg this is such bullsh*t wtf 😡 #6184,Yes,Offensive Language,Offensive Language,Social Media
831,I agree with your analysis #9937,No,None,None,Social Media
104,That's some bull$hit right there #2250,Yes,Offensive Language,Offensive Language,Social Media
464,stfu nobody asked for your opinion #8584,Yes,Offensive Language,Offensive Language,Social Media
239,th1s 1s s0 dum8 #6757,Yes,Offensive Language,Offensive Language,Social Media
546,Thanks for sharing your thoughts #1532,No,None,None,Social Media
554,This is a well written comment #8642,No,None,None,Social Media
278,What a b*tch move honestly #7855,Yes,Offensive Language,Offensive Language,Social Media
326,omg this is such bullsh*t wtf 😡 #4166,Yes,Offensive Language,Offensive Language,Social Media
837,We should consider multiple viewpoints #743,No,None,None,Social Media
919,This discussion is quite interesting #9643,No,None,None,Social Media
438,This is complete bs and everyone knows it #3943,Yes,Offensive Language,Offensive Language,Social Media
870,Let's keep the conversation respectful #8669,No,None,None,Social Media
366,B!tch please... not happening #7076,Yes,Offensive Language,Offensive Language,Social Media
612,We should consider multiple viewpoints #3482,No,None,None,Social Media
148,b1tch pls ur wr0ng #6199,Yes,Offensive Language,Offensive Language,Social Media
393,You're full of sh*t dude #6310,Yes,Offensive Language,Offensive Language,Social Media
260,d4mn son thats cr4zy #4733,Yes,Offensive Language,Offensive Language,Social Media
573,This is helpful information #237,No,None,None,Social Media
375,F@ck this I'm done #5655,Yes,Offensive Language,Offensive Language,Social Media
747,I agree with your analysis #9217,No,None,None,Social Media
948,This is a thoughtful point #3549,No,None,None,Social Media
157,What a b*tch move honestly #4327,Yes,Offensive Language,Offensive Language,Social Media
572,I appreciate your perspective on this topic #9238,No,None,None,Social Media
497,This sh!t is crazy af #6443,Yes,Offensive Language,Offensive Language,Social Media
18,Th!s is $o st*pid omg #9401,Yes,Offensive Language,Offensive Language,Social Media
168,You're full of sh*t dude #8354,Yes,Offensive Language,Offensive Language,Social Media
928,I think this makes sense #1275,No,None,None,Social Media
863,I appreciate your perspective on this topic #1267,No,None,None,Social Media
250,You're full of sh*t dude #696,Yes,Offensive Language,Offensive Language,Social Media
682,I appreciate your perspective on this topic #1383,No,None,None,Social Media
207,You're full of sh*t dude #4564,Yes,Offensive Language,Offensive Language,Social Media
567,This discussion is quite interesting #7879,No,None,None,Social Media
852,We should consider multiple viewpoints #9030,No,None,None,Social Media
936,This is a thoughtful point #3655,No,None,None,Social Media
907,I think this makes sense #9266,No,None,None,Social Media
386,Th!s is $o st*pid omg #2247,Yes,Offensive Language,Offensive Language,Social Media
475,What a b*tch move honestly #3427,Yes,Offensive Language,Offensive Language,Social Media
516,Thanks for sharing your thoughts #5742,No,None,None,Social Media
305,d4mn son thats cr4zy #9822,Yes,Offensive Language,Offensive Language,Social Media
568,This is helpful information #4225,No,None,None,Social Media
845,This is a thoughtful point #519,No,None,None,Social Media
710,I appreciate your perspective on this topic #4402,No,None,None,Social Media
203,Get the f*** out of here with that nonsense #808,Yes,Offensive Language,Offensive Language,Social Media
181,This is complete bs and everyone knows it #5562,Yes,Offensive Language,Offensive Language,Social Media
520,We should consider multiple viewpoints #9461,No,None,None,Social Media
182,This is f*cking ridiculous tbh #2294,Yes,Offensive Language,Offensive Language,Social Media
93,sh1t just got real tbh #6845,Yes,Offensive Language,Offensive Language,Social Media
193,Get the f*** out of here with that nonsense #1153,Yes,Offensive Language,Offensive Language,Social Media
610,Let's keep the conversation respectful #2456,No,None,None,Social Media
713,This is helpful information #4107,No,None,None,Social Media
430,This is such a damn mess smh #7875,Yes,Offensive Language,Offensive Language,Social Media
721,I agree with your analysis #8598,No,None,None,Social Media
719,Thanks for sharing your thoughts #9591,No,None,None,Social Media
36,What the hell were they thinking??? #2254,Yes,Offensive Language,Offensive Language,Social Media
855,I agree with your analysis #2214,No,None,None,Social Media
560,This is a thoughtful point #2377,No,None,None,Social Media
319,th1s 1s s0 dum8 #8890,Yes,Offensive Language,Offensive Language,Social Media
658,This is helpful information #9343,No,None,None,Social Media
449,This sh!t is crazy af #7271,Yes,Offensive Language,Offensive Language,Social Media
740,This is a well written comment #5709,No,None,None,Social Media
323,smh people are so fn stupid these days #399,Yes,Offensive Language,Offensive Language,Social Media
166,bruh wtf... this is some a$$ content #7814,Yes,Offensive Language,Offensive Language,Social Media
849,I appreciate your perspective on this topic #7216,No,None,None,Social Media
973,This is helpful information #3243,No,None,None,Social Media
152,This sh!t is crazy af #7951,Yes,Offensive Language,Offensive Language,Social Media
541,Let's keep the conversation respectful #6261,No,None,None,Social Media
469,omg this is such bullsh*t wtf 😡 #1648,Yes,Offensive Language,Offensive Language,Social Media
570,Let's keep the conversation respectful #4212,No,None,None,Social Media
696,We should consider multiple viewpoints #6135,No,None,None,Social Media
953,This is a thoughtful point #7342,No,None,None,Social Media
726,I appreciate your perspective on this topic #9299,No,None,None,Social Media
321,b1tch pls ur wr0ng #9847,Yes,Offensive Language,Offensive Language,Social Media
988,I appreciate your perspective on this topic #415,No,None,None,Social Media
284,This is such a damn mess smh #6047,Yes,Offensive Language,Offensive Language,Social Media
614,Thanks for sharing your thoughts #1728,No,None,None,Social Media
8,bruh wtf... this is some a$$ content #3411,Yes,Offensive Language,Offensive Language,Social Media
434,He's being a total a**hole rn #9462,Yes,Offensive Language,Offensive Language,Social Media
994,This is a well written comment #481,No,None,None,Social Media
283,This is complete bs and everyone knows it #4308,Yes,Offensive Language,Offensive Language,Social Media
783,Let's keep the conversation respectful #4541,No,None,None,Social Media
355,bruh wtf... this is some a$$ content #6144,Yes,Offensive Language,Offensive Language,Social Media
897,Thanks for sharing your thoughts #1342,No,None,None,Social Media
724,I appreciate your perspective on this topic #6312,No,None,None,Social Media
799,I appreciate your perspective on this topic #8587,No,None,None,Social Media
904,This is helpful information #3344,No,None,None,Social Media
773,This is a thoughtful point #9572,No,None,None,Social Media
387,wtf is wrong with you lmao #8147,Yes,Offensive Language,Offensive Language,Social Media
523,I think this makes sense #2634,No,None,None,Social Media
637,This is helpful information #6483,No,None,None,Social Media
363,This sh!t is crazy af #1267,Yes,Offensive Language,Offensive Language,Social Media
322,ngl this is pretty damn stupid imo #2036,Yes,Offensive Language,Offensive Language,Social Media
697,This is a well written comment #9077,No,None,None,Social Media
669,This discussion is quite interesting #7615,No,None,None,Social Media
103,You're full of sh*t dude #3879,Yes,Offensive Language,Offensive Language,Social Media
460,That's some bull$hit right there #5522,Yes,Offensive Language,Offensive Language,Social Media
299,idc what anyone says this is bs #9765,Yes,Offensive Language,Offensive Language,Social Media
304,That's some bull$hit right there #2266,Yes,Offensive Language,Offensive Language,Social Media
467,b1tch pls ur wr0ng #9754,Yes,Offensive Language,Offensive Language,Social Media
974,I agree with your analysis #7357,No,None,None,Social Media
599,This is helpful information #8375,No,None,None,Social Media
708,Let's keep the conversation respectful #1827,No,None,None,Social Media
914,Thanks for sharing your thoughts #7158,No,None,None,Social Media
487,lmao what kind of sh!tty take is that #6781,Yes,Offensive Language,Offensive Language,Social Media
114,fvck th4t n0ise #5617,Yes,Offensive Language,Offensive Language,Social Media
528,This is helpful information #7197,No,None,None,Social Media
762,This is helpful information #882,No,None,None,Social Media
450,That's some bull$hit right there #5280,Yes,Offensive Language,Offensive Language,Social Media
945,I appreciate your perspective on this topic #5421,No,None,None,Social Media
810,This is a well written comment #7983,No,None,None,Social Media
234,What a b*tch move honestly #3651,Yes,Offensive Language,Offensive Language,Social Media
633,Let's keep the conversation respectful #4439,No,None,None,Social Media
22,lmao what kind of sh!tty take is that #5321,Yes,Offensive Language,Offensive Language,Social Media
759,This is a thoughtful point #4549,No,None,None,Social Media
970,We should consider multiple viewpoints #3408,No,None,None,Social Media
900,This is a well written comment #8085,No,None,None,Social Media
681,This is a well written comment #3874,No,None,None,Social Media
540,I agree with your analysis #4627,No,None,None,Social Media
880,This is a thoughtful point #922,No,None,None,Social Media
584,I appreciate your perspective on this topic #9667,No,None,None,Social Media
70,stfu nobody asked for your opinion #7800,Yes,Offensive Language,Offensive Language,Social Media
106,This sh!t is crazy af #5058,Yes,Offensive Language,Offensive Language,Social Media
929,I appreciate your perspective on this topic #8367,No,None,None,Social Media
649,This is a well written comment #1660,No,None,None,Social Media
482,This is such a damn mess smh #7375,Yes,Offensive Language,Offensive Language,Social Media
262,Stop being such a d*ck about it #3957,Yes,Offensive Language,Offensive Language,Social Media
680,Thanks for sharing your thoughts #9324,No,None,None,Social Media
308,gtfo with that weak argument lol #8898,Yes,Offensive Language,Offensive Language,Social Media
383,bruh wtf... this is some a$$ content #9082,Yes,Offensive Language,Offensive Language,Social Media
704,This is a thoughtful point #4831,No,None,None,Social Media
346,gtfo with that weak argument lol #5304,Yes,Offensive Language,Offensive Language,Social Media
736,This discussion is quite interesting #7498,No,None,None,Social Media
739,This is a thoughtful point #7722,No,None,None,Social Media
473,Th!s is $o st*pid omg #3581,Yes,Offensive Language,Offensive Language,Social Media
78,gtfo with that weak argument lol #8801,Yes,Offensive Language,Offensive Language,Social Media
816,This discussion is quite interesting #5434,No,None,None,Social Media
258,r u f***ing kidding me rn??? #1476,Yes,Offensive Language,Offensive Language,Social Media
364,F@ck this I'm done #4416,Yes,Offensive Language,Offensive Language,Social Media
634,I agree with your analysis #6069,No,None,None,Social Media
864,This is helpful information #7229,No,None,None,Social Media
952,I think this makes sense #121,No,None,None,Social Media
392,F@ck this I'm done #5392,Yes,Offensive Language,Offensive Language,Social Media
76,F@ck this I'm done #7768,Yes,Offensive Language,Offensive Language,Social Media
754,Let's keep the conversation respectful #343,No,None,None,Social Media
132,What the h3ll is going on here?? #5377,Yes,Offensive Language,Offensive Language,Social Media
171,omg this is such bullsh*t wtf 😡 #7165,Yes,Offensive Language,Offensive Language,Social Media
661,I agree with your analysis #1516,No,None,None,Social Media
735,This is a well written comment #1976,No,None,None,Social Media
108,th1s 1s s0 dum8 #5466,Yes,Offensive Language,Offensive Language,Social Media
241,bruh wtf... this is some a$$ content #4140,Yes,Offensive Language,Offensive Language,Social Media
871,I appreciate your perspective on this topic #164,No,None,None,Social Media
839,I appreciate your perspective on this topic #842,No,None,None,Social Media
385,That's some bull$hit right there #8703,Yes,Offensive Language,Offensive Language,Social Media
792,I appreciate your perspective on this topic #531,No,None,None,Social Media
868,We should consider multiple viewpoints #4493,No,None,None,Social Media
629,We should consider multiple viewpoints #4622,No,None,None,Social Media
172,sh1t just got real tbh #9944,Yes,Offensive Language,Offensive Language,Social Media
75,He's being a total a**hole rn #5,Yes,Offensive Language,Offensive Language,Social Media
390,Th!s is $o st*pid omg #5641,Yes,Offensive Language,Offensive Language,Social Media
823,I appreciate your perspective on this topic #898,No,None,None,Social Media
666,This discussion is quite interesting #7766,No,None,None,Social Media
474,wtf is wrong with you lmao #4960,Yes,Offensive Language,Offensive Language,Social Media
616,This is a well written comment #4057,No,None,None,Social Media
130,r u f***ing kidding me rn??? #9947,Yes,Offensive Language,Offensive Language,Social Media
910,We should consider multiple viewpoints #789,No,None,None,Social Media
63,This is complete bs and everyone knows it #8844,Yes,Offensive Language,Offensive Language,Social Media
61,bruh wtf... this is some a$$ content #4824,Yes,Offensive Language,Offensive Language,Social Media
51,What a b*tch move honestly #5388,Yes,Offensive Language,Offensive Language,Social Media
563,I appreciate your perspective on this topic #7563,No,None,None,Social Media
398,stfu nobody asked for your opinion #1040,Yes,Offensive Language,Offensive Language,Social Media
212,This is f*cking ridiculous tbh #8225,Yes,Offensive Language,Offensive Language,Social Media
750,I agree with your analysis #5209,No,None,None,Social Media
455,Get the f*** out of here with that nonsense #7390,Yes,Offensive Language,Offensive Language,Social Media
432,He's being a total a**hole rn #9189,Yes,Offensive Language,Offensive Language,Social Media
959,I appreciate your perspective on this topic #1659,No,None,None,Social Media
189,This is f*cking ridiculous tbh #8812,Yes,Offensive Language,Offensive Language,Social Media
752,Let's keep the conversation respectful #5891,No,None,None,Social Media
254,b1tch pls ur wr0ng #102,Yes,Offensive Language,Offensive Language,Social Media
982,Thanks for sharing your thoughts #4836,No,None,None,Social Media
538,Thanks for sharing your thoughts #4392,No,None,None,Social Media
433,stfu nobody asked for your opinion #2522,Yes,Offensive Language,Offensive Language,Social Media
838,This discussion is quite interesting #8711,No,None,None,Social Media
107,r u f***ing kidding me rn??? #6528,Yes,Offensive Language,Offensive Language,Social Media
727,I agree with your analysis #2315,No,None,None,Social Media
447,wtf is wrong with you lmao #3393,Yes,Offensive Language,Offensive Language,Social Media
722,I appreciate your perspective on this topic #6009,No,None,None,Social Media
26,That's some bull$hit right there #6298,Yes,Offensive Language,Offensive Language,Social Media
488,This is such a damn mess smh #6380,Yes,Offensive Language,Offensive Language,Social Media
151,Get the f*** out of here with that nonsense #9321,Yes,Offensive Language,Offensive Language,Social Media
643,This discussion is quite interesting #4615,No,None,None,Social Media
966,Let's keep the conversation respectful #4470,No,None,None,Social Media
204,Get the f*** out of here with that nonsense #4423,Yes,Offensive Language,Offensive Language,Social Media
94,Get the f*** out of here with that nonsense #2267,Yes,Offensive Language,Offensive Language,Social Media
836,This is helpful information #1178,No,None,None,Social Media
899,We should consider multiple viewpoints #97,No,None,None,Social Media
630,This is a thoughtful point #4281,No,None,None,Social Media
412,gtfo with that weak argument lol #5722,Yes,Offensive Language,Offensive Language,Social Media
87,lmao what kind of sh!tty take is that #1079,Yes,Offensive Language,Offensive Language,Social Media
335,ngl this is pretty damn stupid imo #5133,Yes,Offensive Language,Offensive Language,Social Media
340,That's some bull$hit right there #6246,Yes,Offensive Language,Offensive Language,Social Media
827,I appreciate your perspective on this topic #4904,No,None,None,Social Media
978,I appreciate your perspective on this topic #3841,No,None,None,Social Media
38,sh1t just got real tbh #1297,Yes,Offensive Language,Offensive Language,Social Media
79,What the h3ll is going on here?? #2817,Yes,Offensive Language,Offensive Language,Social Media
439,stfu nobody asked for your opinion #3506,Yes,Offensive Language,Offensive Language,Social Media
631,Thanks for sharing your thoughts #170,No,None,None,Social Media
415,gtfo with that weak argument lol #2257,Yes,Offensive Language,Offensive Language,Social Media
962,This discussion is quite interesting #9906,No,None,None,Social Media
144,bruh wtf... this is some a$$ content #5003,Yes,Offensive Language,Offensive Language,Social Media
192,th1s 1s s0 dum8 #4298,Yes,Offensive Language,Offensive Language,Social Media
949,Thanks for sharing your thoughts #7958,No,None,None,Social Media
591,This discussion is quite interesting #5104,No,None,None,Social Media
510,This is a well written comment #6391,No,None,None,Social Media
918,I appreciate your perspective on this topic #9089,No,None,None,Social Media
789,This is a thoughtful point #7017,No,None,None,Social Media
828,This is a well written comment #7858,No,None,None,Social Media
896,I appreciate your perspective on this topic #963,No,None,None,Social Media
770,I agree with your analysis #1194,No,None,None,Social Media
413,stfu nobody asked for your opinion #1949,Yes,Offensive Language,Offensive Language,Social Media
529,This discussion is quite interesting #333,No,None,None,Social Media
468,Get the f*** out of here with that nonsense #2342,Yes,Offensive Language,Offensive Language,Social Media
492,What the hell were they thinking??? #3690,Yes,Offensive Language,Offensive Language,Social Media
208,fvck th4t n0ise #2545,Yes,Offensive Language,Offensive Language,Social Media
709,This is helpful information #1116,No,None,None,Social Media
311,Th!s is $o st*pid omg #1046,Yes,Offensive Language,Offensive Language,Social Media
550,This is helpful information #8903,No,None,None,Social Media
607,I agree with your analysis #7463,No,None,None,Social Media
118,gtfo with that weak argument lol #3867,Yes,Offensive Language,Offensive Language,Social Media
515,This discussion is quite interesting #9145,No,None,None,Social Media
939,This is helpful information #600,No,None,None,Social Media
329,Get the f*** out of here with that nonsense #4370,Yes,Offensive Language,Offensive Language,Social Media
405,F@ck this I'm done #5042,Yes,Offensive Language,Offensive Language,Social Media
295,r u f***ing kidding me rn??? #9961,Yes,Offensive Language,Offensive Language,Social Media
210,He's being a total a**hole rn #6023,Yes,Offensive Language,Offensive Language,Social Media
123,This is such a damn mess smh #4916,Yes,Offensive Language,Offensive Language,Social Media
219,sh1t just got real tbh #5853,Yes,Offensive Language,Offensive Language,Social Media
183,sh1t just got real tbh #3699,Yes,Offensive Language,Offensive Language,Social Media
635,I think this makes sense #9519,No,None,None,Social Media
686,This is helpful information #8200,No,None,None,Social Media
969,I appreciate your perspective on this topic #1172,No,None,None,Social Media
809,We should consider multiple viewpoints #4505,No,None,None,Social Media
921,This is a thoughtful point #2462,No,None,None,Social Media
493,idc what anyone says this is bs #9743,Yes,Offensive Language,Offensive Language,Social Media
539,I appreciate your perspective on this topic #3300,No,None,None,Social Media
300,Get the f*** out of here with that nonsense #7450,Yes,Offensive Language,Offensive Language,Social Media
905,This is helpful information #9078,No,None,None,Social Media
266,This is such a damn mess smh #9466,Yes,Offensive Language,Offensive Language,Social Media
357,bruh wtf... this is some a$$ content #8085,Yes,Offensive Language,Offensive Language,Social Media
236,r u f***ing kidding me rn??? #1979,Yes,Offensive Language,Offensive Language,Social Media
577,This discussion is quite interesting #8381,No,None,None,Social Media
847,This discussion is quite interesting #2809,No,None,None,Social Media
869,This is helpful information #2062,No,None,None,Social Media
248,This is complete bs and everyone knows it #3872,Yes,Offensive Language,Offensive Language,Social Media
711,This discussion is quite interesting #2420,No,None,None,Social Media
927,I agree with your analysis #2820,No,None,None,Social Media
622,I agree with your analysis #8061,No,None,None,Social Media
913,We should consider multiple viewpoints #6303,No,None,None,Social Media
602,Let's keep the conversation respectful #479,No,None,None,Social Media
294,stfu nobody asked for your opinion #5829,Yes,Offensive Language,Offensive Language,Social Media
395,B!tch please... not happening #6957,Yes,Offensive Language,Offensive Language,Social Media
549,I appreciate your perspective on this topic #4960,No,None,None,Social Media
333,idc what anyone says this is bs #4398,Yes,Offensive Language,Offensive Language,Social Media
844,We should consider multiple viewpoints #1285,No,None,None,Social Media
